feat_set,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,test_mae,test_mse,test_r2,trees,reg_alpha,reg_lambda
L1+L5_base,4,0.005,0.8,0.8,5,10.567647933959961,10.58889389038086,185.50225830078125,0.2595165967941284,724,,
L1+L5_base,4,0.005,0.8,0.8,10,10.561938285827637,10.584023475646973,185.4771728515625,0.2596167325973511,915,,
L1+L5_base,4,0.01,0.6,0.6,1,10.56766414642334,10.581436157226562,184.92530822753906,0.26181966066360474,494,,
L1+L5_base,4,0.01,0.6,0.6,3,10.566741943359375,10.583528518676758,184.9623260498047,0.26167190074920654,494,,
L1+L5_base,4,0.01,0.6,0.6,5,10.567014694213867,10.57894229888916,184.93190002441406,0.261793315410614,505,,
L1+L5_base,4,0.01,0.6,0.6,10,10.569849967956543,10.573858261108398,184.63070678710938,0.2629956007003784,506,,
L1+L5_base,4,0.01,0.6,0.7,1,10.560345649719238,10.578516006469727,184.75390625,0.26250386238098145,497,,
L1+L5_base,4,0.01,0.6,0.7,3,10.555274963378906,10.570378303527832,184.66001892089844,0.2628785967826843,497,,
L1+L5_base,4,0.01,0.6,0.7,5,10.554917335510254,10.560986518859863,184.46966552734375,0.263638436794281,497,,
L1+L5_base,4,0.01,0.6,0.7,10,10.563765525817871,10.562192916870117,184.45553588867188,0.2636948823928833,497,,
L1+L5_base,4,0.01,0.6,0.8,1,10.562736511230469,10.58460521697998,185.2913055419922,0.26035869121551514,460,,
