max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,test_mae,test_r2,trees
3,0.05,0.6,0.7,5,9.515268325805664,9.53253173828125,0.36712968349456787,127
3,0.05,0.6,0.7,10,9.52452564239502,9.53899097442627,0.3663747310638428,133
3,0.05,0.6,0.8,1,9.499749183654785,9.501896858215332,0.36757993698120117,133
3,0.05,0.6,0.8,3,9.470386505126953,9.49324893951416,0.3683992028236389,177
3,0.05,0.6,0.8,5,9.474309921264648,9.511281967163086,0.36925703287124634,174
3,0.05,0.6,0.8,10,9.537741661071777,9.538506507873535,0.3672122359275818,132
3,0.05,0.7,0.6,1,9.452188491821289,9.522626876831055,0.3700469136238098,202
3,0.05,0.7,0.6,3,9.498656272888184,9.548686027526855,0.36795538663864136,163
3,0.05,0.7,0.6,5,9.47743034362793,9.549595832824707,0.3669847249984741,202
3,0.05,0.7,0.6,10,9.439058303833008,9.561114311218262,0.36886167526245117,206
3,0.05,0.7,0.7,1,9.469928741455078,9.465291023254395,0.3732035160064697,206
3,0.05,0.7,0.7,3,9.439038276672363,9.508110046386719,0.37056273221969604,201
3,0.05,0.7,0.7,5,9.452779769897461,9.498926162719727,0.37063121795654297,200
3,0.05,0.7,0.7,10,9.460540771484375,9.49123764038086,0.3716609477996826,184
3,0.05,0.7,0.8,1,9.436208724975586,9.475791931152344,0.3724435567855835,207
3,0.05,0.7,0.8,3,9.449234008789062,9.493788719177246,0.3713560104370117,194
3,0.05,0.7,0.8,5,9.47433090209961,9.495223999023438,0.3704489469528198,195
3,0.05,0.7,0.8,10,9.529899597167969,9.550896644592285,0.36647146940231323,118
3,0.05,0.8,0.6,1,9.512504577636719,9.496185302734375,0.36975258588790894,224
3,0.05,0.8,0.6,3,9.52049446105957,9.506464958190918,0.3697645664215088,177
3,0.05,0.8,0.6,5,9.498305320739746,9.494342803955078,0.37039780616760254,177
3,0.05,0.8,0.6,10,9.509063720703125,9.492773056030273,0.36966437101364136,175
3,0.05,0.8,0.7,1,9.498388290405273,9.479877471923828,0.3699418306350708,174
3,0.05,0.8,0.7,3,9.486863136291504,9.48401165008545,0.3702887296676636,156
3,0.05,0.8,0.7,5,9.47900390625,9.484607696533203,0.3683187961578369,174
3,0.05,0.8,0.7,10,9.490599632263184,9.487692832946777,0.3692924380302429,139
3,0.05,0.8,0.8,1,9.484808921813965,9.54593563079834,0.36562758684158325,155
3,0.05,0.8,0.8,3,9.487548828125,9.519567489624023,0.3694375157356262,174
3,0.05,0.8,0.8,5,9.488197326660156,9.504178047180176,0.37068432569503784,176
