hidden_dims,lr,dropout,weight_decay,batch_size,val_mae,test_mae,test_r2
"(128, 64, 32)",0.0005,0.3,0.0001,256,9.329357147216797,9.41592788696289,0.37777549028396606
"(128, 64, 32)",0.0005,0.3,0.001,64,9.367753028869629,9.436490058898926,0.37718522548675537
"(128, 64, 32)",0.0005,0.3,0.001,128,9.26026725769043,9.446760177612305,0.3693050742149353
"(128, 64, 32)",0.0005,0.3,0.001,256,9.327688217163086,9.418877601623535,0.3771156072616577
"(128, 64, 32)",0.0005,0.4,1e-05,64,9.291266441345215,9.413012504577637,0.37822359800338745
"(128, 64, 32)",0.0005,0.4,1e-05,128,9.291116714477539,9.446990966796875,0.3709208369255066
"(128, 64, 32)",0.0005,0.4,1e-05,256,9.36701488494873,9.4236478805542,0.37981879711151123
"(128, 64, 32)",0.0005,0.4,0.0001,64,9.374367713928223,9.448134422302246,0.3774299621582031
"(128, 64, 32)",0.0005,0.4,0.0001,128,9.289299964904785,9.432336807250977,0.3721398115158081
"(128, 64, 32)",0.0005,0.4,0.0001,256,9.3662748336792,9.430553436279297,0.3798127770423889
"(128, 64, 32)",0.0005,0.4,0.001,64,9.299347877502441,9.407885551452637,0.37849050760269165
"(128, 64, 32)",0.0005,0.4,0.001,128,9.302332878112793,9.443092346191406,0.37195515632629395
"(128, 64, 32)",0.0005,0.4,0.001,256,9.368757247924805,9.421703338623047,0.3805720806121826
"(128, 64, 32)",0.0005,0.5,1e-05,64,9.28067684173584,9.38550090789795,0.38702404499053955
"(128, 64, 32)",0.0005,0.5,1e-05,128,9.33956527709961,9.476112365722656,0.37687450647354126
"(128, 64, 32)",0.0005,0.5,1e-05,256,9.42746353149414,9.41762638092041,0.3818094730377197
"(128, 64, 32)",0.0005,0.5,0.0001,64,9.273726463317871,9.369620323181152,0.3869723081588745
"(128, 64, 32)",0.0005,0.5,0.0001,128,9.350703239440918,9.49404239654541,0.3749315142631531
"(128, 64, 32)",0.0005,0.5,0.0001,256,9.436799049377441,9.420634269714355,0.38210344314575195
"(128, 64, 32)",0.0005,0.5,0.001,64,9.297491073608398,9.374018669128418,0.38736218214035034
"(128, 64, 32)",0.0005,0.5,0.001,128,9.35290241241455,9.482582092285156,0.37517547607421875
"(128, 64, 32)",0.0005,0.5,0.001,256,9.436243057250977,9.416603088378906,0.38305044174194336
"(128, 64, 32)",0.001,0.2,1e-05,64,9.257737159729004,9.409257888793945,0.37874889373779297
"(128, 64, 32)",0.001,0.2,1e-05,128,9.334415435791016,9.500019073486328,0.36194419860839844
"(128, 64, 32)",0.001,0.2,1e-05,256,9.289473533630371,9.44485855102539,0.37629497051239014
"(128, 64, 32)",0.001,0.2,0.0001,64,9.254204750061035,9.389054298400879,0.38314205408096313
"(128, 64, 32)",0.001,0.2,0.0001,128,9.413498878479004,9.543692588806152,0.373352587223053
"(128, 64, 32)",0.001,0.2,0.0001,256,9.286209106445312,9.442316055297852,0.37631070613861084
"(128, 64, 32)",0.001,0.2,0.001,64,9.235811233520508,9.367094039916992,0.38642722368240356
"(128, 64, 32)",0.001,0.2,0.001,128,9.424528121948242,9.528223037719727,0.3753364682197571
"(128, 64, 32)",0.001,0.2,0.001,256,9.283218383789062,9.437447547912598,0.3775944113731384
"(128, 64, 32)",0.001,0.3,1e-05,64,9.270744323730469,9.397192001342773,0.37697094678878784
"(128, 64, 32)",0.001,0.3,1e-05,128,9.381345748901367,9.473033905029297,0.377727746963501
"(128, 64, 32)",0.001,0.3,1e-05,256,9.359111785888672,9.410067558288574,0.38257646560668945
"(128, 64, 32)",0.001,0.3,0.0001,64,9.302159309387207,9.393790245056152,0.3762863278388977
"(128, 64, 32)",0.001,0.3,0.0001,128,9.381121635437012,9.483794212341309,0.3769223093986511
"(128, 64, 32)",0.001,0.3,0.0001,256,9.365427017211914,9.415688514709473,0.38200843334198
"(128, 64, 32)",0.001,0.3,0.001,64,9.300613403320312,9.411829948425293,0.37623733282089233
"(128, 64, 32)",0.001,0.3,0.001,128,9.381850242614746,9.468501091003418,0.37841784954071045
"(128, 64, 32)",0.001,0.3,0.001,256,9.374560356140137,9.424511909484863,0.3811376094818115
"(128, 64, 32)",0.001,0.4,1e-05,64,9.265685081481934,9.410636901855469,0.37800318002700806
"(128, 64, 32)",0.001,0.4,1e-05,128,9.360692024230957,9.471285820007324,0.37438398599624634
"(128, 64, 32)",0.001,0.4,1e-05,256,9.309728622436523,9.387761116027832,0.3783809542655945
"(128, 64, 32)",0.001,0.4,0.0001,64,9.26395034790039,9.37297248840332,0.38147568702697754
"(128, 64, 32)",0.001,0.4,0.0001,128,9.361740112304688,9.48642349243164,0.3756749629974365
"(128, 64, 32)",0.001,0.4,0.0001,256,9.317863464355469,9.31688404083252,0.3873370885848999
"(128, 64, 32)",0.001,0.4,0.001,64,9.244793891906738,9.38376522064209,0.380859375
"(128, 64, 32)",0.001,0.4,0.001,128,9.351921081542969,9.46672248840332,0.3767755627632141
"(128, 64, 32)",0.001,0.4,0.001,256,9.291301727294922,9.377306938171387,0.3802569508552551
"(128, 64, 32)",0.001,0.5,1e-05,64,9.251104354858398,9.385575294494629,0.38624095916748047
"(128, 64, 32)",0.001,0.5,1e-05,128,9.416150093078613,9.482393264770508,0.38030827045440674
"(128, 64, 32)",0.001,0.5,1e-05,256,9.348383903503418,9.357088088989258,0.38463789224624634
"(128, 64, 32)",0.001,0.5,0.0001,64,9.181296348571777,9.343944549560547,0.3830244541168213
"(128, 64, 32)",0.001,0.5,0.0001,128,9.325265884399414,9.41117000579834,0.3867971897125244
