GAME_ID,HOME_TEAM_ID,HOME_REST_DAYS,HOME_IS_B2B,HOME_GAMES_IN_LAST_7,HOME_WIN_STREAK,HOME_GAME_NUMBER,HOME_CONSECUTIVE_AWAY,HOME_HOME_WIN_PCT,HOME_AWAY_WIN_PCT,HOME_OVERALL_WIN_PCT,AWAY_TEAM_ID,AWAY_REST_DAYS,AWAY_IS_B2B,AWAY_GAMES_IN_LAST_7,AWAY_WIN_STREAK,AWAY_GAME_NUMBER,AWAY_CONSECUTIVE_AWAY,AWAY_HOME_WIN_PCT,AWAY_AWAY_WIN_PCT,AWAY_OVERALL_WIN_PCT,REST_ADVANTAGE,DIFF_WIN_STREAK,DIFF_GAMES_IN_LAST_7,DIFF_GAME_NUMBER,DIFF_OVERALL_WIN_PCT,HOME_ADV,SEASON,POINT_DIFF
21600307,1610612737,2,0,3,-6,22,0,0.6666666666666666,0.3333333333333333,0.47619047619047616,1610612760,1,1,2,5,22,1,0.6923076923076923,0.5,0.6190476190476191,1,-11,1,0,-0.1428571428571429,1.0,2016-17,-3
21600324,1610612737,2,0,3,-7,23,0,0.6,0.3333333333333333,0.45454545454545453,1610612748,1,1,3,-2,22,1,0.2,0.45454545454545453,0.3333333333333333,1,-5,0,1,0.12121212121212122,1.0,2016-17,8
21600369,1610612737,4,0,2,2,25,0,0.6363636363636364,0.38461538461538464,0.5,1610612753,3,0,3,-3,26,1,0.3333333333333333,0.46153846153846156,0.4,1,5,-1,-1,0.09999999999999998,1.0,2016-17,-11
21600401,1610612737,1,1,2,1,27,0,0.5833333333333334,0.42857142857142855,0.5,1610612766,1,1,3,-4,28,5,0.5714285714285714,0.46153846153846156,0.5185185185185185,0,5,-1,-1,-0.01851851851851849,1.0,2016-17,-8
21600430,1610612737,2,0,3,1,29,0,0.5384615384615384,0.4666666666666667,0.5,1610612750,2,0,2,1,28,1,0.2857142857142857,0.3076923076923077,0.2962962962962963,0,0,1,1,0.20370370370370372,1.0,2016-17,-8
21600478,1610612737,2,0,2,-1,32,0,0.5,0.47058823529411764,0.4838709677419355,1610612752,3,0,2,-1,31,1,0.6875,0.35714285714285715,0.5333333333333333,-1,0,0,1,-0.04946236559139783,1.0,2016-17,4
21600498,1610612737,2,0,2,1,33,0,0.5333333333333333,0.47058823529411764,0.5,1610612765,2,0,2,-1,35,1,0.5294117647058824,0.35294117647058826,0.4411764705882353,0,2,0,-2,0.05882352941176472,1.0,2016-17,7
21600508,1610612737,2,0,3,2,34,0,0.5625,0.47058823529411764,0.5151515151515151,1610612759,2,0,2,4,34,1,0.7333333333333333,0.8888888888888888,0.8181818181818182,0,-2,1,0,-0.3030303030303031,1.0,2016-17,2
21600597,1610612737,3,0,2,7,39,0,0.5882352941176471,0.5714285714285714,0.5789473684210527,1610612738,2,0,3,1,40,1,0.6666666666666666,0.5714285714285714,0.6153846153846154,1,6,-1,-1,-0.036437246963562764,1.0,2016-17,-2
21600607,1610612737,2,0,2,-1,40,0,0.5555555555555556,0.5714285714285714,0.5641025641025641,1610612749,2,0,2,2,39,1,0.5714285714285714,0.47058823529411764,0.5263157894736842,0,-3,0,1,0.037786774628879916,1.0,2016-17,13
21600647,1610612737,2,0,3,-1,43,0,0.5789473684210527,0.5652173913043478,0.5714285714285714,1610612741,3,0,3,-1,44,1,0.5909090909090909,0.38095238095238093,0.4883720930232558,-1,0,0,-1,0.0830564784053156,1.0,2016-17,9
21600653,1610612737,1,1,4,1,44,0,0.6,0.5652173913043478,0.5813953488372093,1610612755,1,1,3,3,42,1,0.4166666666666667,0.29411764705882354,0.36585365853658536,0,-2,1,2,0.21554169030062398,1.0,2016-17,17
21600667,1610612737,2,0,3,2,45,0,0.6190476190476191,0.5652173913043478,0.5909090909090909,1610612746,2,0,2,-2,46,2,0.7083333333333334,0.5714285714285714,0.6444444444444445,0,4,1,-1,-0.05353535353535355,1.0,2016-17,-10
